GEO,2018
European Union - 27 countries (from 2020),"1,29,10,000"
European Union - 28 countries (2013-2020),"1,31,00,000"
Belgium,"69,174"
Bulgaria,"1,07,670"
Czechia,0
Denmark,"2,43,306"
Germany (until 1990 former territory of the FRG),"6,70,687"
Estonia,"69,282"
Ireland,"25,113"
Greece,"3,80,042"
Spain,"47,69,448"
France,"3,00,000"
Croatia,"5,37,008"
Italy,"64,110"
Cyprus,"3,027"
Latvia,0
Lithuania,"21,030"
Luxembourg,456
Hungary,"3,38,632"
Malta,"9,954"
Netherlands,"35,18,566"
Austria,"50,914"
Poland,"2,97,269"
Portugal,"13,205"
Romania,"19,719"
Slovenia,"66,477"
Slovakia,"3,76,378"
Finland,"42,481"
Sweden,"9,11,776"
Iceland,696
Liechtenstein,0
Norway,0
United Kingdom,"1,89,952"
Montenegro,"4,270"
North Macedonia,0
Albania,:
Serbia,"70,334"
Turkey,512
Bosnia and Herzegovina,"9,315"
Kosovo (under United Nations Security Council Resolution 1244/99),:
