GEO,2018
European Union - 27 countries (from 2020),"2,24,90,000"
European Union - 28 countries (2013-2020),"2,68,90,000"
Belgium,"12,45,076"
Bulgaria,"62,346"
Czechia,"67,855"
Denmark,"3,82,768"
Germany (until 1990 former territory of the FRG),"19,28,713"
Estonia,"45,222"
Ireland,"9,75,447"
Greece,"3,29,521"
Spain,"21,38,666"
France,"37,61,395"
Croatia,"53,295"
Italy,"54,10,415"
Cyprus,"50,715"
Latvia,"1,14,056"
Lithuania,"36,137"
Luxembourg,"47,305"
Hungary,"1,02,870"
Malta,"13,160"
Netherlands,"24,34,803"
Austria,"8,37,580"
Poland,"5,90,826"
Portugal,"1,76,581"
Romania,"2,00,724"
Slovenia,"80,100"
Slovakia,"58,910"
Finland,"6,17,557"
Sweden,"7,30,183"
Iceland,"30,114"
Liechtenstein,"3,693"
Norway,"5,81,508"
United Kingdom,"43,96,874"
Montenegro,"9,727"
North Macedonia,"11,863"
Albania,:
Serbia,"27,580"
Turkey,"1,37,376"
Bosnia and Herzegovina,"21,738"
Kosovo (under United Nations Security Council Resolution 1244/99),:
