GEO,2018
European Union - 27 countries (from 2020),"1,75,20,000"
European Union - 28 countries (2013-2020),"1,88,70,000"
Belgium,"8,50,162"
Bulgaria,"53,880"
Czechia,"3,54,418"
Denmark,"1,11,866"
Germany (until 1990 former territory of the FRG),"28,44,561"
Estonia,"14,31,566"
Ireland,"2,03,533"
Greece,"1,58,480"
Spain,"6,55,148"
France,"17,88,306"
Croatia,"28,146"
Italy,"26,06,956"
Cyprus,"5,122"
Latvia,"8,414"
Lithuania,"48,205"
Luxembourg,"25,246"
Hungary,"1,91,852"
Malta,"6,971"
Netherlands,"11,10,323"
Austria,"3,20,959"
Poland,"31,98,220"
Portugal,"2,94,849"
Romania,"80,804"
Slovenia,"65,212"
Slovakia,"1,22,329"
Finland,"3,05,202"
Sweden,"6,50,224"
United Kingdom,"13,53,638"
Iceland,"1,20,936"
Liechtenstein,:
Norway,"2,04,742"
Montenegro,"2,043"
North Macedonia,"2,287"
Albania,:
Serbia,"16,609"
Turkey,"4,55,656"
Bosnia and Herzegovina,"16,484"
Kosovo (under United Nations Security Council Resolution 1244/99),:
