GEO,2018
European Union - 27 countries (from 2020),"83,40,000"
European Union - 28 countries (2013-2020),"1,13,00,000"
Belgium,"3,84,523"
Bulgaria,"1,05,501"
Czechia,"66,910"
Denmark,"95,222"
Germany (until 1990 former territory of the FRG),"10,59,561"
Estonia,"67,490"
Ireland,"69,273"
Greece,"45,969"
Spain,"8,58,686"
France,"19,89,175"
Croatia,"35,733"
Italy,"23,51,462"
Cyprus,"9,495"
Latvia,"16,916"
Lithuania,"35,042"
Luxembourg,"4,375"
Hungary,"26,687"
Malta,"13,945"
Netherlands,"2,58,723"
Austria,"61,149"
Poland,"4,02,528"
Portugal,"1,29,054"
Romania,"52,884"
Slovenia,"11,453"
Slovakia,"38,036"
Finland,"1,25,988"
Sweden,"28,203"
Iceland,"15,692"
Liechtenstein,251
Norway,"2,30,783"
United Kingdom,"29,54,905"
Montenegro,75
North Macedonia,257
Albania,:
Serbia,"5,067"
Turkey,"2,486"
Bosnia and Herzegovina,450
Kosovo (under United Nations Security Council Resolution 1244/99),:
