GEO,2018
European Union - 27 countries (from 2020),"1,63,40,000"
European Union - 28 countries (2013-2020),"2,06,00,000"
Belgium,"12,77,398"
Bulgaria,"1,81,956"
Czechia,"3,68,854"
Denmark,"2,03,683"
Germany (until 1990 former territory of the FRG),"33,59,633"
Estonia,"52,020"
Ireland,"1,31,358"
Greece,"94,283"
Spain,"11,43,079"
France,"24,43,824"
Croatia,"81,472"
Italy,"30,89,553"
Cyprus,"12,030"
Latvia,"35,702"
Lithuania,"63,405"
Luxembourg,"63,309"
Hungary,"1,33,558"
Malta,"7,884"
Netherlands,"5,91,843"
Austria,"3,13,991"
Poland,"14,95,822"
Portugal,"3,41,932"
Romania,"2,83,511"
Slovenia,"72,103"
Slovakia,"86,522"
Finland,"1,61,302"
Sweden,"2,50,742"
United Kingdom,"42,63,580"
Iceland,"7,729"
Liechtenstein,:
Norway,"1,44,456"
Montenegro,"3,055"
North Macedonia,"1,606"
Albania,:
Serbia,"23,196"
Turkey,"3,31,898"
Bosnia and Herzegovina,"11,306"
Kosovo (under United Nations Security Council Resolution 1244/99),:
