GEO,2018
European Union - 27 countries (from 2020),"19,00,000"
European Union - 28 countries (2013-2020),"22,90,000"
Belgium,"1,04,323"
Bulgaria,"5,506"
Czechia,"36,477"
Denmark,"6,217"
Germany (until 1990 former territory of the FRG),"3,90,888"
Estonia,"1,964"
Ireland,"38,968"
Greece,"16,249"
Spain,"1,25,752"
France,"5,01,885"
Croatia,"5,262"
Italy,"1,46,934"
Cyprus,"1,047"
Latvia,"2,139"
Lithuania,"2,003"
Luxembourg,"1,052"
Hungary,"21,938"
Malta,448
Netherlands,"22,686"
Austria,"46,973"
Poland,"3,18,346"
Portugal,"38,010"
Romania,"21,490"
Slovenia,"5,512"
Slovakia,"24,372"
Finland,"3,130"
Sweden,"5,858"
United Kingdom,"3,96,471"
Iceland,326
Liechtenstein,:
Norway,297
Montenegro,801
North Macedonia,858
Albania,:
Serbia,"4,175"
Turkey,"89,706"
Bosnia and Herzegovina,1
Kosovo (under United Nations Security Council Resolution 1244/99),:
