GEO,2018
European Union - 27 countries (from 2020),"13,31,30,000"
European Union - 28 countries (2013-2020),"16,50,30,000"
Belgium,"42,11,739"
Bulgaria,"24,34,762"
Czechia,"31,01,074"
Denmark,"24,66,876"
Germany (until 1990 former territory of the FRG),"2,06,38,829"
Estonia,"3,46,170"
Ireland,"23,06,654"
Greece,"41,27,886"
Spain,"1,95,00,712"
France,"2,10,77,918"
Croatia,"13,20,464"
Italy,"1,40,44,720"
Cyprus,"4,21,596"
Latvia,"4,29,151"
Lithuania,"8,27,952"
Luxembourg,"2,27,557"
Hungary,"27,05,094"
Malta,"2,45,718"
Netherlands,"62,13,249"
Austria,"25,15,251"
Poland,"88,78,722"
Portugal,"46,90,709"
Romania,"47,19,609"
Slovenia,"3,54,132"
Slovakia,"14,17,664"
Finland,"15,19,835"
Sweden,"23,82,541"
Iceland,"1,47,003"
Liechtenstein,"8,264"
Norway,"9,26,382"
United Kingdom,"3,19,02,011"
Montenegro,"2,81,533"
North Macedonia,"2,83,653"
Albania,:
Serbia,"19,98,244"
Turkey,"3,23,40,538"
Bosnia and Herzegovina,"8,71,068"
Kosovo (under United Nations Security Council Resolution 1244/99),:
