GEO,2018
European Union - 27 countries (from 2020),"89,00,000"
European Union - 28 countries (2013-2020),"1,58,60,000"
Belgium,"4,72,608"
Bulgaria,"2,01,624"
Czechia,"69,518"
Denmark,"4,21,108"
Germany (until 1990 former territory of the FRG),"5,76,630"
Estonia,"25,935"
Ireland,"1,01,642"
Greece,"2,18,595"
Spain,"5,80,590"
France,"26,47,542"
Croatia,"83,458"
Italy,"6,37,111"
Cyprus,"2,659"
Latvia,"34,594"
Lithuania,"1,59,226"
Luxembourg,"9,691"
Hungary,"58,126"
Malta,"1,460"
Netherlands,"5,85,613"
Austria,0
Poland,"1,59,779"
Portugal,"2,92,496"
Romania,"1,83,203"
Slovenia,"58,977"
Slovakia,"3,86,535"
Finland,"2,75,998"
Sweden,"6,59,272"
Iceland,"25,966"
Liechtenstein,79
Norway,"7,26,161"
United Kingdom,"69,57,327"
Montenegro,"4,658"
North Macedonia,"52,558"
Albania,:
Serbia,"14,153"
Turkey,"6,92,298"
Bosnia and Herzegovina,"7,161"
Kosovo (under United Nations Security Council Resolution 1244/99),:
