GEO,2018
European Union - 27 countries (from 2020),"4,24,50,000"
European Union - 28 countries (2013-2020),"5,29,00,000"
Belgium,"33,80,865"
Bulgaria,"4,98,445"
Czechia,"9,87,022"
Denmark,"6,85,880"
Germany (until 1990 former territory of the FRG),"76,31,010"
Estonia,"95,683"
Ireland,"7,95,667"
Greece,"8,39,574"
Spain,"33,79,352"
France,"72,90,000"
Croatia,"2,54,733"
Italy,"56,13,205"
Cyprus,"50,305"
Latvia,"91,069"
Lithuania,"1,77,826"
Luxembourg,"94,462"
Hungary,"6,70,546"
Malta,"14,469"
Netherlands,"20,51,242"
Austria,"15,95,892"
Poland,"25,27,943"
Portugal,"10,64,915"
Romania,"6,53,446"
Slovenia,"2,19,744"
Slovakia,"3,19,930"
Finland,"5,25,456"
Sweden,"9,40,297"
Iceland,"35,104"
Liechtenstein,"6,153"
Norway,"7,92,972"
United Kingdom,"1,04,53,351"
Montenegro,"9,350"
North Macedonia,"1,11,391"
Albania,:
Serbia,"1,90,512"
Turkey,"16,79,571"
Bosnia and Herzegovina,"31,925"
Kosovo (under United Nations Security Council Resolution 1244/99),:
