GEO,2018
European Union - 27 countries (from 2020),"1,68,00,000"
European Union - 28 countries (2013-2020),"1,97,20,000"
Belgium,"7,45,450"
Bulgaria,"2,60,939"
Czechia,"4,65,131"
Denmark,"1,05,457"
Germany (until 1990 former territory of the FRG),"28,64,626"
Estonia,"52,389"
Ireland,"1,58,578"
Greece,"2,03,069"
Spain,"8,09,666"
France,"20,58,723"
Croatia,"71,670"
Italy,"43,93,791"
Cyprus,"8,352"
Latvia,"89,055"
Lithuania,"1,02,441"
Luxembourg,"30,005"
Hungary,"2,07,563"
Malta,"7,201"
Netherlands,"5,62,236"
Austria,"3,80,208"
Poland,"17,75,671"
Portugal,"3,70,413"
Romania,"3,01,379"
Slovenia,"69,460"
Slovakia,"1,92,170"
Finland,"1,20,091"
Sweden,"3,96,061"
United Kingdom,"29,22,915"
Iceland,"10,966"
Liechtenstein,:
Norway,"2,75,537"
Montenegro,"3,269"
North Macedonia,"66,671"
Albania,:
Serbia,"56,220"
Turkey,"7,25,276"
Bosnia and Herzegovina,"20,290"
Kosovo (under United Nations Security Council Resolution 1244/99),:
