GEO,2018
European Union - 27 countries (from 2020),"2,17,29,10,000"
European Union - 28 countries (2013-2020),"2,43,81,30,000"
Belgium,"6,36,72,792"
Bulgaria,"12,92,04,764"
Czechia,"2,67,38,771"
Denmark,"2,03,47,818"
Germany (until 1990 former territory of the FRG),"36,15,49,738"
Estonia,"2,28,60,170"
Ireland,"1,31,94,645"
Greece,"4,44,10,991"
Spain,"11,05,24,690"
France,"33,11,14,847"
Croatia,"53,37,135"
Italy,"14,58,24,225"
Cyprus,"22,06,914"
Latvia,"17,52,723"
Lithuania,"60,20,492"
Luxembourg,"88,96,211"
Hungary,"1,69,84,639"
Malta,"24,58,626"
Netherlands,"13,84,84,441"
Austria,"6,32,36,913"
Poland,"16,04,62,516"
Portugal,"1,49,62,817"
Romania,"20,24,67,968"
Slovenia,"81,68,468"
Slovakia,"1,17,50,560"
Finland,"12,67,70,566"
Sweden,"13,35,04,448"
United Kingdom,"26,52,16,979"
Iceland,"12,79,883"
Liechtenstein,:
Norway,"1,37,43,241"
Montenegro,"12,21,705"
North Macedonia,"11,39,209"
Albania,:
Serbia,"5,10,29,360"
Turkey,:
Bosnia and Herzegovina,"67,47,253"
Kosovo (under United Nations Security Council Resolution 1244/99),:
