GEO,2018
European Union - 27 countries (from 2020),"29,60,000"
European Union - 28 countries (2013-2020),"35,90,000"
Belgium,"65,585"
Bulgaria,"30,816"
Czechia,"34,809"
Denmark,"54,862"
Germany (until 1990 former territory of the FRG),"5,94,312"
Estonia,"35,324"
Ireland,"15,987"
Greece,"45,700"
Spain,"2,52,249"
France,"4,95,020"
Croatia,"22,734"
Italy,"5,10,779"
Cyprus,"6,647"
Latvia,"15,931"
Lithuania,"24,021"
Luxembourg,"14,648"
Hungary,"56,213"
Malta,"2,461"
Netherlands,"1,41,764"
Austria,"65,931"
Poland,"98,076"
Portugal,"1,46,796"
Romania,"90,556"
Slovenia,"21,336"
Slovakia,"18,869"
Finland,"1,161"
Sweden,"94,508"
United Kingdom,"6,32,271"
Iceland,"9,821"
Liechtenstein,:
Norway,"61,824"
Montenegro,417
North Macedonia,897
Albania,:
Serbia,"51,921"
Turkey,"28,872"
Bosnia and Herzegovina,724
Kosovo (under United Nations Security Council Resolution 1244/99),:
