GEO,2018,
European Union - 27 countries (from 2020),"14,43,20,000",
European Union - 28 countries (2013-2020),"16,13,20,000",
Belgium,"39,40,447",
Bulgaria,"5,47,059",
Czechia,"11,74,682",
Denmark,"10,98,085",
Germany (until 1990 former territory of the FRG),"4,39,73,886",
Estonia,"3,25,411",
Ireland,"7,92,112",
Greece,"11,81,612",
Spain,"1,74,56,549",
France,"1,12,73,091",
Croatia,"2,06,176",
Italy,"2,66,84,784",
Cyprus,"95,230",
Latvia,"21,003",
Lithuania,"10,60,046",
Luxembourg,"1,18,186",
Hungary,"13,84,947",
Malta,"1,08,444",
Netherlands,"67,56,526",
Austria,"24,29,215",
Poland,"1,46,80,989",
Portugal,"9,32,056",
Romania,"7,35,477",
Slovenia,"52,211",
Slovakia,"6,51,310",
Finland,"14,81,169",
Sweden,"51,63,138",
United Kingdom,"1,69,92,777",
Iceland,"13,628",
Liechtenstein,:,
Norway,"3,94,477",
Montenegro,82,
North Macedonia,"1,045",
Albania,:,
Serbia,"74,470",
Turkey,:,
Bosnia and Herzegovina,352,
Kosovo (under United Nations Security Council Resolution 1244/99),:,
