GEO,2018
European Union - 27 countries (from 2020),"21,50,000"
European Union - 28 countries (2013-2020),"23,50,000"
Belgium,"1,99,456"
Bulgaria,"24,315"
Czechia,"1,11,439"
Denmark,"26,854"
Germany (until 1990 former territory of the FRG),"3,38,342"
Estonia,"4,155"
Ireland,"7,865"
Greece,"9,100"
Spain,"94,334"
France,"2,38,999"
Croatia,"10,357"
Italy,"5,19,214"
Cyprus,"2,629"
Latvia,226
Lithuania,"11,710"
Luxembourg,"7,494"
Hungary,"21,537"
Malta,"1,195"
Netherlands,"1,26,208"
Austria,"68,348"
Poland,"1,31,985"
Portugal,"1,03,954"
Romania,"41,150"
Slovenia,"9,905"
Slovakia,"16,311"
Finland,"14,456"
Sweden,"10,696"
Iceland,1
Liechtenstein,0
Norway,"6,180"
United Kingdom,"1,99,813"
Montenegro,109
North Macedonia,"4,578"
Albania,:
Serbia,"11,320"
Turkey,"2,31,836"
Bosnia and Herzegovina,"3,238"
Kosovo (under United Nations Security Council Resolution 1244/99),:
