GEO,2018
European Union - 27 countries (from 2020),"5,19,40,000"
European Union - 28 countries (2013-2020),"5,82,50,000"
Belgium,"75,04,038"
Bulgaria,"3,01,839"
Czechia,"7,50,630"
Denmark,"9,46,471"
Germany (until 1990 former territory of the FRG),"1,22,20,636"
Estonia,"72,048"
Ireland,"1,68,589"
Greece,"4,82,640"
Spain,"23,83,628"
France,"77,99,092"
Croatia,"78,782"
Italy,"29,79,959"
Cyprus,"28,724"
Latvia,"1,43,825"
Lithuania,"3,64,981"
Luxembourg,"81,199"
Hungary,"3,28,071"
Malta,"5,089"
Netherlands,"93,92,578"
Austria,"13,87,235"
Poland,"17,38,453"
Portugal,"1,68,367"
Romania,"8,73,499"
Slovenia,"1,04,429"
Slovakia,"3,77,202"
Finland,"4,21,142"
Sweden,"8,36,897"
Iceland,"9,647"
Liechtenstein,"6,478"
Norway,"1,81,885"
United Kingdom,"63,07,488"
Montenegro,"31,909"
North Macedonia,"7,256"
Albania,:
Serbia,"47,285"
Turkey,"7,12,321"
Bosnia and Herzegovina,"22,695"
Kosovo (under United Nations Security Council Resolution 1244/99),:
