GEO,2018
European Union - 27 countries (from 2020),"4,87,90,000"
European Union - 28 countries (2013-2020),"5,62,60,000"
Belgium,"39,56,126"
Bulgaria,"3,33,380"
Czechia,"2,54,692"
Denmark,"6,96,947"
Germany (until 1990 former territory of the FRG),"1,28,06,210"
Estonia,"1,82,251"
Ireland,"2,12,173"
Greece,"78,062"
Spain,"11,15,862"
France,"72,01,718"
Croatia,"95,342"
Italy,"52,53,102"
Cyprus,"6,525"
Latvia,"56,670"
Lithuania,"1,57,081"
Luxembourg,"74,859"
Hungary,"1,32,337"
Malta,"9,738"
Netherlands,"27,12,128"
Austria,"13,75,855"
Poland,"21,04,833"
Portugal,"4,00,528"
Romania,"27,32,109"
Slovenia,"94,192"
Slovakia,"4,49,509"
Finland,"43,71,362"
Sweden,"19,25,568"
Iceland,"27,179"
Liechtenstein,918
Norway,"8,02,333"
United Kingdom,"74,67,562"
Montenegro,"27,655"
North Macedonia,"5,367"
Albania,:
Serbia,"68,244"
Turkey,"6,92,576"
Bosnia and Herzegovina,"2,20,593"
Kosovo (under United Nations Security Council Resolution 1244/99),:
